Gross domestic product (GDP) at current market prices by metropolitan regions [met_10r_3gdp],,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Last update,18.06.19,,,,,,,,,,,,,,,,,
Extracted on,11.01.20,,,,,,,,,,,,,,,,,
Source of data,Eurostat,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
UNIT,Million euro,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
METROREG/TIME,2000 - 2000,2001 - 2001,2002 - 2002,2003 - 2003,2004 - 2004,2005 - 2005,2006 - 2006,2007 - 2007,2008 - 2008,2009 - 2009,2010 - 2010,2011 - 2011,2012 - 2012,2013 - 2013,2014 - 2014,2015 - 2015,2016 - 2016,2017 - 2017
Spain,"646,250","699,528","749,288","803,472","861,420","930,566","1,007,974","1,080,807","1,116,225","1,079,052","1,080,935","1,070,449","1,039,815","1,025,693","1,037,820","1,081,165","1,118,743","1,166,319"
Madrid,"114,203.37","124,397.93","133,558.90","143,196.08","153,815.35","166,138.73","181,318.12","194,533.37","202,013.71","199,508.68","197,925.56","198,904.46","195,628.80","192,900.11","195,190.75","204,304.27","211,782",:
Barcelona,"92,202.78","99,402.06","105,189.22","112,654.68","120,241.87","130,563.48","140,744.59","150,661.62","154,429.96","148,751.69","149,304.16","147,005.52","143,143.97","141,786.15","144,617.59","150,817.69","157,402",:
Valencia,"33,492.91","36,553.24","39,310.44","41,835.40","44,636.54","47,434.89","51,621.92","56,148.24","58,312.80","55,213.72","55,135.07","54,400.10","52,206.67","51,450.85","52,437.23","53,962.48","54,675",:
Sevilla,"20,641.01","22,529.60","24,841.98","26,971.91","28,914.10","31,578.45","33,882.94","36,631.49","37,432.71","36,445.31","36,199.11","36,036.83","35,369.27","34,249.73","34,939.33","35,890.78","36,907",:
Zaragoza,"14,452.20","15,450.77","16,840.15","18,125.92","19,456.26","21,054.79","22,927.50","24,921.70","25,717.43","24,796.92","24,950.71","24,570.91","23,548.89","23,475.21","23,785.57","24,392.10","25,395",:
Málaga - Marbella,"14,913.92","16,715.65","17,905.37","19,600.84","21,752.99","24,466.19","26,194.68","27,644.01","28,546.83","27,828.60","27,796.42","27,334.77","26,228.03","25,934.15","26,670.57","27,869.05","28,684",:
Murcia - Cartagena,"15,675.77","17,085.61","18,598.24","20,241.24","21,757.99","23,867.31","25,936.66","27,989.74","29,138.44","27,798.25","27,985.88","27,245.65","26,550.22","26,482.07","26,611.56","28,236.27","29,116",:
Las Palmas,"10,968.66","11,875.16","12,529.20","13,338.77","13,914.36","14,607.57","15,661.31","16,594.03","17,007.65","16,433.32","16,285.83","16,147.55","15,584.05","15,559.99","15,555.38","15,890.28","16,556",:
Valladolid,"7,969.65","8,534.29","9,080","9,525.38","10,152.46","10,957.46","11,683.13","12,459.91","12,593.11","12,165.13","12,507.79","12,264.02","11,848.72","11,687.07","11,858.01","12,284.71","12,740",:
Palma de Mallorca,"13,659.71","14,742.26","15,525.56","16,211.88","17,299.92","18,641.06","20,152.16","21,610.92","22,479.69","21,588.59","21,514.57","21,295.15","20,890.34","20,733.75","21,282.85","22,333.68","23,519",:
Vitoria/Gasteiz,"6,276.33","6,820.47","7,413.38","7,881.52","8,490.20","9,272.45","10,317.13","11,203.18","11,798.53","10,958.98","10,877.24","10,960.66","10,691.29","10,757.53","11,087.28","11,317.17","11,639",:
Oviedo - Gijón,"14,266.59","15,389.26","16,315.28","17,269.87","18,386.08","19,955.51","21,700.36","23,239.37","23,990.38","22,724.92","22,869.83","22,466.73","21,421.16","20,670.72","20,562.67","21,247.44","21,598",:
Pamplona/Iruña,"11,157.47","11,906.25","12,741.23","13,586.43","14,514.31","15,635.13","16,816.10","17,958.62","18,739.48","18,205.76","18,257.73","18,222.13","17,574.77","17,482.64","17,836.02","18,403.54","19,056",:
Santander,"7,945.29","8,604.05","9,198.48","9,704.14","10,339.13","11,169.62","11,976.08","12,845.74","13,279.84","12,810.14","12,826.97","12,592.66","12,153.37","11,751.42","11,935.69","12,181.45","12,571",:
Bilbao,"20,960.98","21,935.77","23,263.64","24,832.62","26,345.02","28,431.53","30,204.33","32,030.21","33,681.83","32,802.29","33,222.70","32,636.90","31,958.76","31,159","31,880.16","33,264.89","34,453",:
Córdoba,"8,132.89","8,612.17","9,134.91","10,041.12","10,928.21","11,657.30","12,764.13","13,769.62","14,009.45","13,570.77","13,468.73","13,279.44","12,586.85","12,666.70","12,742.35","13,438.52","13,749",:
Alicante/Alacant - Elche/Elx,"20,255.68","22,407.34","24,084.54","26,046.08","28,415.69","30,990.72","33,491.78","35,382.76","36,364.75","34,351.44","33,959.46","32,907.76","31,670.57","31,410.71","32,394.20","33,643.24","35,578",:
Vigo,"11,408","12,257.43","12,826.11","13,833.98","15,063.22","16,163.07","17,758.57","19,257.79","20,126.21","19,180.68","18,815.62","18,230.51","17,619.24","17,632.17","17,966.89","18,573.27","19,104",:
Santa Cruz de Tenerife,"10,731.36","11,678.32","12,544.35","13,496.22","14,480.58","15,720.01","16,691.13","17,845.42","18,200.77","17,156.09","17,819.63","17,716.32","17,218.56","16,874.75","17,009.25","17,721.44","18,057",:
A Coruña,"13,924.35","14,929.66","16,305.95","17,499.86","18,862.40","20,510.67","22,133.52","24,084.37","25,163.59","24,842.29","25,136.46","24,511.06","23,554.34","23,399.45","23,213.07","24,444.23","25,263",:
Granada,"8,644.87","9,388.57","10,294.12","11,150.68","11,920.38","12,761.04","14,306.17","15,312.53","15,761.42","15,150.48","15,035.07","14,994.69","14,705.86","14,534.42","14,976.40","15,681.10","15,834",:
Guipúzcoa,"13,474.10","14,835.19","15,490.20","16,165.72","17,295.59","18,507.65","20,416.33","21,858.55","22,220.67","21,177.07","21,583.91","21,584.40","21,174.61","20,737.48","20,928.48","21,536.85","22,300",:
Cádiz,"13,410.94","14,368.67","15,322.53","16,297.34","17,830.84","19,123.49","20,590.80","21,672.58","21,923.67","20,675.88","20,977.20","20,890.99","20,145.89","19,620.81","19,399.77","20,025.19","20,850",:
Non-metropolitan regions in Spain,"146,935.75","158,545.21","170,416.52","183,449.57","196,001.25","210,688.26","227,908.98","244,372.98","252,483.59","244,099.44","245,623.88","243,137.08","235,489.86","231,843.42","232,094.33","242,831.87","251,136",:
United Kingdom,"1,787,328.54","1,816,204.35","1,881,201.60","1,809,053.60","1,934,479.71","2,030,934.48","2,150,267.70","2,252,450.54","1,983,970.46","1,725,383.30","1,850,538.56","1,894,900.22","2,089,628.42","2,073,978.52","2,287,866.57","2,611,924.12","2,403,382.63","2,337,970.96"
London,"531,845.27","537,951.14","555,621.66","537,868.59","572,124.50","607,649.73","642,938.10","689,344.74","609,125.04","530,645.32","569,507.29","588,890.09","656,612.67","655,674.54","735,292.64","840,049.25","782,517.81","763,494.39"
West Midlands urban area,"59,014.43","59,852.65","61,518.21","58,251.34","61,908.10","64,324.87","66,791.04","69,863.51","59,817.16","51,863.04","56,231.16","57,389.42","62,689.83","62,521.65","69,245.30","79,535.29","75,942.76","74,119.84"
Leeds,"45,102.95","46,245.95","48,782.02","47,412.65","50,996.74","53,719.86","56,240.27","58,851.81","50,545.66","43,895.39","46,326.21","47,547.91","51,601.02","51,272.61","55,453.79","64,111.07","58,769.14","57,118.44"
Glasgow,"42,863.36","44,086.69","44,991.91","43,322.66","46,799.30","49,867.76","52,241.02","53,054.73","47,222.03","41,626.49","42,699.23","43,769.27","48,005","48,251.06","53,991.52","60,045.08","54,978.02","53,721.50"
